名称,武器分类,基础准度,静止射击准度,移动射击准度,被瞄准射击准度,存在距离加成,最大连射奖励次数,最小散步,最大散步,散射角度,散射无规律,造成状态效果概率,对地最小射程,对直升机最小射程,对固定翼最小射程,对地最大射程,对直升机最大射程,对固定翼最大射程,伤害类别,伤害类型索引,基底伤害量,物理伤害溅射半径,压制伤害,压制伤害建设半径,允许未命中造成压制伤害,武器穿深进化类型,引导方式,瞄准时间,装填时间,发射间隔时间,可发射次数,校准射击瞄准时间修正系数,校准射击散步修正系数,补给消耗,投射物类型,烟雾类型,单一锁敌,乱序射击,可穿甲,可移动射击,可直接瞄准,可曲射射击,可盲射,盲射射击次数,可杀伤固定翼,瞄准目标中心,强制造成对顶伤害,造成着火效果,造成着火概率,无友军伤害,射击隐匿惩罚,串联武器,子弹药描述,展示连射准度,面板消耗弹药数量,效果间隔,弹药类型,对地最小射程,对地最大射程,投射物最小射程,高度射程
Ammo_KwK_40L48_75mm_HEAT,MinMax_GUN,否,35,10,否,无,3,无,58.4397934,否,无,100,0.0,无,无,21914.922524999998,无,无,无,无,8.0,2.92198967,93.0,271.74503931,无,无,无,4.0,8.0,8.0,是,是,无,38,EProjectileType/Obus,无,无,无,是,无,是,否,无,无,是,是,无,无,无,是,2.4,无,无,无,是,8.0,EArmeType/AP_20,0.0,21914.922524999998,0.0,350.63876039999997
Ammo_KwK_42L70_75mm_AP,MinMax_GUN,否,40,15,否,无,3,无,58.4397934,否,无,否,0.0,无,无,29219.896699999998,无,无,无,无,8.0,2.92198967,225.0,657.4476757499999,无,~/DamageTypeEvolutionOverRangeDescriptor_Chute_Lente_2000m,无,4.0,9.0,9.0,是,是,无,38,EProjectileType/Obus,无,无,无,是,无,是,否,无,无,是,是,无,无,无,是,3.2,无,无,无,是,9.0,EArmeType/AP_37,0.0,29219.896699999998,0.0,146.0994835
Ammo_KwK_42L70_75mm_APCR,MinMax_GUN,否,55,20,否,无,3,无,146.0994835,否,无,100,0.0,无,无,25567.4096125,无,无,无,无,4.0,2.92198967,225.0,657.4476757499999,无,~/DamageTypeEvolutionOverRangeDescriptor_Chute_Lente_1750m,无,4.0,9.0,9.0,是,是,无,38,EProjectileType/Obus,无,无,无,是,无,是,否,无,无,是,是,无,无,无,是,2.8,无,无,无,是,9.0,EArmeType/AP_50,0.0,25567.4096125,0.0,116.8795868
Ammo_KwK_42L70_75mm_HE,MinMax_GUN,否,20,10,否,无,-1,无,49.67382439,否,无,否,0.0,无,无,29219.896699999998,无,无,无,无,1.4,192.85131822,131.0,669.13563443,无,无,无,4.0,9.0,9.0,是,是,无,38,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,~/Descriptor_Fire_Incendie,0.1,是,3.2,无,无,无,是,9.0,EArmeType/HE,0.0,29219.896699999998,0.0,233.7591736
Ammo_KwK_42L70_75mm_casemate_AP,MinMax_ATGUN,否,40,否,否,无,3,无,58.4397934,否,无,否,0.0,无,无,29219.896699999998,无,无,无,无,8.0,2.92198967,225.0,657.4476757499999,无,~/DamageTypeEvolutionOverRangeDescriptor_Chute_Lente_2000m,无,3.0,7.5,7.5,是,是,无,38,EProjectileType/Obus,无,无,无,是,无,是,否,无,无,是,是,无,无,无,是,5.6,无,无,无,是,7.5,EArmeType/AP_37,0.0,29219.896699999998,0.0,146.0994835
Ammo_KwK_42L70_75mm_casemate_APCR,MinMax_ATGUN,否,55,否,否,无,3,无,58.4397934,否,无,100,0.0,无,无,25567.4096125,无,无,无,无,4.0,2.92198967,225.0,657.4476757499999,无,~/DamageTypeEvolutionOverRangeDescriptor_Chute_Lente_1750m,无,3.0,7.5,7.5,是,是,无,38,EProjectileType/Obus,无,无,无,是,无,是,否,无,无,是,是,无,无,无,是,4.8,无,无,无,是,7.5,EArmeType/AP_50,0.0,25567.4096125,0.0,116.8795868
Ammo_KwK_42L70_75mm_casemate_HE,MinMax_ATGUN,否,20,否,否,无,-1,无,52.595814059999995,否,无,否,0.0,无,无,29219.896699999998,无,无,无,无,1.4,192.85131822,131.0,669.13563443,无,无,无,3.0,7.5,7.5,是,是,无,38,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,~/Descriptor_Fire_Incendie,0.1,是,5.6,无,无,无,是,7.5,EArmeType/HE,0.0,29219.896699999998,0.0,233.7591736
Ammo_KwK_43L71_88mm_AP,MinMax_GUN,否,40,10,否,无,3,无,58.4397934,否,无,100,0.0,无,无,29219.896699999998,无,无,无,无,8.0,2.92198967,358.0,1046.07230186,无,~/DamageTypeEvolutionOverRangeDescriptor_Chute_Lente_2000m,无,4.0,11.0,11.0,是,是,无,44,EProjectileType/Obus,无,无,无,是,无,是,否,无,无,是,是,无,无,无,是,3.2,无,无,无,是,11.0,EArmeType/AP_46,0.0,29219.896699999998,0.0,131.48953515
Ammo_KwK_43L71_88mm_HE,MinMax_GUN,否,25,10,否,无,-1,无,61.361783069999994,否,无,否,0.0,无,无,29219.896699999998,无,无,无,无,1.76,233.7591736,152.0,774.32726255,无,无,无,4.0,11.0,11.0,是,是,无,44,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,~/Descriptor_Fire_Incendie,0.1,是,3.2,无,无,无,是,11.0,EArmeType/HE,0.0,29219.896699999998,0.0,189.92932854999998
Ammo_KwK_43L71_88mm_TD_AP,MinMax_GUN,否,45,10,否,无,3,无,58.4397934,否,无,100,0.0,无,无,29219.896699999998,无,无,无,无,8.0,2.92198967,358.0,1046.07230186,无,~/DamageTypeEvolutionOverRangeDescriptor_Chute_Lente_2000m,无,3.0,8.0,8.0,是,是,无,44,EProjectileType/Obus,无,无,无,是,无,是,否,无,无,是,是,无,无,无,是,3.2,无,无,无,是,8.0,EArmeType/AP_46,0.0,29219.896699999998,0.0,131.48953515
Ammo_KwK_43L71_88mm_TD_HE,MinMax_GUN,否,25,10,否,无,-1,无,61.361783069999994,否,无,否,0.0,无,无,29219.896699999998,无,无,无,无,1.76,233.7591736,152.0,774.32726255,无,无,无,3.0,8.0,8.0,是,是,无,44,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,~/Descriptor_Fire_Incendie,0.1,是,3.2,无,无,无,是,8.0,EArmeType/HE,0.0,29219.896699999998,0.0,189.92932854999998
Ammo_Kwk38t_37mm_AP,MinMax_GUN,否,50,15,否,无,3,无,58.4397934,否,无,100,0.0,无,无,14609.948349999999,无,无,无,无,5.0,2.92198967,68.0,198.69529756,无,~/DamageTypeEvolutionOverRangeDescriptor_Chute_Lente_1000m,无,4.0,4.0,4.0,是,是,无,19,EProjectileType/Obus,无,无,无,是,无,是,否,无,无,是,是,无,无,无,是,1.6,无,无,无,是,4.0,EArmeType/AP_14,0.0,14609.948349999999,0.0,219.14922525
Ammo_Kwk38t_37mm_HE,MinMax_GUN,否,15,5,否,无,-1,无,58.4397934,否,无,否,0.0,无,无,14609.948349999999,无,无,无,无,0.74,119.80157647,65.0,394.46860545,无,无,无,4.0,4.0,4.0,是,是,无,19,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,~/Descriptor_Fire_Incendie,0.1,是,3.2,无,无,无,是,4.0,EArmeType/HE,0.0,14609.948349999999,0.0,146.0994835
Ammo_L2065_20mmL,MinMax_AUTOCANAIR,否,10,5,否,无,无,无,29.2198967,否,无,否,0.0,无,无,10957.461262499999,无,无,无,无,0.8,116.8795868,60.0,292.198967,无,无,无,4.0,3.0,0.3,10,是,无,100,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,2.4,无,无,无,10,0.3,EArmeType/HE,0.0,10957.461262499999,0.0,无
Ammo_L2065_20mmL_AP,MinMax_AUTOCANAIR,否,20,10,否,无,-1,无,29.2198967,否,无,10,0.0,无,无,10957.461262499999,无,无,无,无,2.0,2.92198967,48.0,140.25550416,无,~/DamageTypeEvolutionOverRangeDescriptor_Chute_Lente_750m,无,4.0,3.0,0.3,10,是,无,100,EProjectileType/Obus,无,无,无,是,无,是,否,无,无,是,是,无,无,无,是,2.4,无,无,无,10,0.3,EArmeType/AP_7,0.0,10957.461262499999,0.0,无
Ammo_LAHTI_SALORANTA_M26,MinMax_Rifle,否,15,否,否,无,-1,无,29.2198967,否,无,否,0.0,无,无,10957.461262499999,无,无,无,无,0.5,2.92198967,20.0,292.198967,无,无,无,2.0,2.0,1.1,6,是,无,17,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,21.6,无,无,无,35,0.2,EArmeType/Balle,0.0,10957.461262499999,0.0,无
Ammo_LAHTI_SALORANTA_M26_x2,MinMax_Rifle,否,15,否,否,无,-1,无,29.2198967,否,无,否,0.0,无,无,10957.461262499999,无,无,无,无,是,2.92198967,40.0,350.63876039999997,无,无,无,2.0,2.0,1.1,6,是,无,35,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,21.6,无,无,无,70,0.2,EArmeType/Balle,0.0,10957.461262499999,0.0,无
Ammo_LG40_RCL_75mm,MinMax_ASLTGUN,否,40,14,否,无,3,无,58.4397934,否,无,100,0.0,无,无,21914.922524999998,无,无,无,无,8.0,2.92198967,62.0,181.16335954,无,~/DamageTypeEvolutionOverRangeDescriptor_Chute_Lente_1500m,无,3.0,5.0,5.0,是,是,无,38,EProjectileType/Obus,无,无,无,是,无,是,否,无,无,是,是,无,无,无,是,19.2,无,无,无,是,5.0,EArmeType/AP_12,0.0,21914.922524999998,0.0,350.63876039999997
Ammo_LG40_RCL_75mm_HE,MinMax_ASLTGUN,否,24,14,否,无,-1,无,73.04974175,否,无,否,0.0,无,无,21914.922524999998,无,无,无,无,2.2,280.51100832,176.0,730.4974175,无,无,无,3.0,5.0,5.0,是,是,无,38,EProjectileType/Obus,无,无,无,是,无,是,否,无,无,是,是,无,无,无,是,19.2,无,无,无,是,5.0,EArmeType/HE,0.0,21914.922524999998,0.0,350.63876039999997
Ammo_LG42_RCL_105mm,MinMax_ASLTGUN,否,35,10,否,无,3,无,58.4397934,否,无,100,0.0,无,无,21914.922524999998,无,无,无,无,10.0,2.92198967,93.0,271.74503931,无,~/DamageTypeEvolutionOverRangeDescriptor_Chute_Lente_1500m,无,6.0,10.0,10.0,是,是,无,53,EProjectileType/Obus,无,无,无,是,无,是,否,无,无,是,是,无,无,无,是,19.2,无,无,无,是,10.0,EArmeType/AP_20,0.0,21914.922524999998,0.0,1460.994835
Ammo_LG42_RCL_105mm_HE,MinMax_ASLTGUN,否,24,14,否,无,-1,无,122.72356613999999,否,无,否,0.0,无,无,29219.896699999998,无,无,无,无,4.1,473.36232653999997,263.0,905.8167976999999,无,无,无,6.0,10.0,10.0,是,是,无,53,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,否,25.6,无,无,无,是,10.0,EArmeType/HE,0.0,29219.896699999998,0.0,1460.994835
Ammo_LMG_24M_Madsen,MinMax_Rifle,否,10,否,否,无,-1,无,29.2198967,否,无,否,0.0,无,无,10957.461262499999,无,无,无,无,0.5,2.92198967,20.0,292.198967,无,无,无,2.0,2.0,1.16,5,是,无,12,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,21.6,无,无,无,25,0.2,EArmeType/Balle,0.0,10957.461262499999,0.0,无
Ammo_LMG_31M,MinMax_Rifle,否,10,否,否,无,-1,无,29.2198967,否,无,否,1460.994835,无,无,10957.461262499999,无,无,无,无,0.5,2.92198967,20.0,292.198967,无,无,无,2.0,2.0,0.75,7,是,无,22,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,21.6,无,无,无,45,0.15,EArmeType/Balle,1460.994835,10957.461262499999,0.0,无
Ammo_LMG_31M_x2,MinMax_Rifle,否,10,否,否,无,-1,无,29.2198967,否,无,否,1460.994835,无,无,10957.461262499999,无,无,无,无,是,2.92198967,40.0,350.63876039999997,无,无,无,2.0,2.0,0.75,7,是,无,45,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,21.6,无,无,无,90,0.15,EArmeType/Balle,1460.994835,10957.461262499999,0.0,无
Ammo_LMG_31M_x3,MinMax_Rifle,否,10,否,否,无,-1,无,29.2198967,否,无,否,1460.994835,无,无,10957.461262499999,无,无,无,无,1.5,2.92198967,60.0,420.76651247999996,无,无,无,2.0,2.0,0.75,7,是,无,67,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,21.6,无,无,无,135,0.15,EArmeType/Balle,1460.994835,10957.461262499999,0.0,无
Ammo_LPO_Lance_Flamme,MinMax_Flame,否,100,100,否,无,无,2.92198967,14.60994835,否,无,否,292.198967,无,无,1460.994835,无,无,无,无,是,87.65969009999999,100.0,146.0994835,无,无,无,2.0,8.0,6.0,4,是,无,100,EProjectileType/Obus,无,无,无,否,无,是,否,无,是,是,是,无,~/Descriptor_Fire_Incendie,0.5,否,100.0,无,无,无,4,6.0,EArmeType/Flamme,292.198967,1460.994835,0.0,87.65969009999999
Ammo_Lanchester_x2,MinMax_Rifle,否,50,30,否,无,无,无,29.2198967,否,无,否,0.0,无,无,1460.994835,无,无,无,无,0.8,2.92198967,16.0,292.198967,无,无,无,是,3.0,1.4,7,是,无,32,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,2.88,无,无,无,64,0.2,EArmeType/Balle,0.0,1460.994835,0.0,无
Ammo_Lanchester_x3,MinMax_Rifle,否,50,30,否,无,无,无,29.2198967,否,无,否,0.0,无,无,1460.994835,无,无,无,无,1.2,2.92198967,23.0,292.198967,无,无,无,是,3.0,1.4,7,是,无,48,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,2.88,无,无,无,96,0.2,EArmeType/Balle,0.0,1460.994835,0.0,无
Ammo_Lebel_x10,MinMax_Rifle,否,50,15,否,无,无,无,29.2198967,否,无,否,0.0,无,无,7304.974174999999,无,无,无,无,是,2.92198967,20.0,292.198967,无,无,无,是,3.0,2.0,8,是,无,40,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,14.4,无,无,无,80,0.2,EArmeType/Balle,0.0,7304.974174999999,0.0,无
Ammo_Lebel_x14,MinMax_Rifle,否,50,15,否,无,无,无,29.2198967,否,无,否,0.0,无,无,7304.974174999999,无,无,无,无,1.4,2.92198967,36.0,292.198967,无,无,无,是,3.0,2.0,8,是,无,56,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,14.4,无,无,无,112,0.2,EArmeType/Balle,0.0,7304.974174999999,0.0,无
Ammo_Lebel_x3,MinMax_Rifle,否,50,15,否,无,无,无,29.2198967,否,无,否,0.0,无,无,7304.974174999999,无,无,无,无,0.3,2.92198967,6.0,292.198967,无,无,无,是,3.0,2.0,8,是,无,12,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,14.4,无,无,无,24,0.2,EArmeType/Balle,0.0,7304.974174999999,0.0,无
Ammo_Lebel_x4,MinMax_Rifle,否,50,15,否,无,无,无,29.2198967,否,无,否,0.0,无,无,7304.974174999999,无,无,无,无,0.4,2.92198967,8.0,292.198967,无,无,无,是,3.0,2.0,8,是,无,16,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,14.4,无,无,无,32,0.2,EArmeType/Balle,0.0,7304.974174999999,0.0,无
Ammo_Lebel_x7,MinMax_Rifle,否,50,15,否,无,无,无,29.2198967,否,无,否,0.0,无,无,7304.974174999999,无,无,无,无,0.7,2.92198967,14.0,292.198967,无,无,无,是,3.0,2.0,8,是,无,28,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,14.4,无,无,无,56,0.2,EArmeType/Balle,0.0,7304.974174999999,0.0,无
Ammo_Lebel_x8,MinMax_Rifle,否,50,15,否,无,无,无,29.2198967,否,无,否,0.0,无,无,7304.974174999999,无,无,无,无,0.8,2.92198967,16.0,292.198967,无,无,无,是,3.0,2.0,8,是,无,32,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,14.4,无,无,无,64,0.2,EArmeType/Balle,0.0,7304.974174999999,0.0,无
Ammo_Lebel_x9,MinMax_Rifle,否,50,15,否,无,无,无,29.2198967,否,无,否,0.0,无,无,7304.974174999999,无,无,无,无,0.9,2.92198967,18.0,292.198967,无,无,无,是,3.0,2.0,8,是,无,36,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,14.4,无,无,无,72,0.2,EArmeType/Balle,0.0,7304.974174999999,0.0,无
Ammo_Lee_Enfield_Scope,MinMax_Rifle,否,80,否,否,无,5,无,29.2198967,否,无,否,0.0,无,无,14609.948349999999,无,无,无,无,是,2.92198967,100.0,292.198967,无,无,无,3.0,10.0,5.5,10,是,无,5,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,28.8,无,无,无,10,5.0,EArmeType/Balle,0.0,14609.948349999999,0.0,无
Ammo_Lee_Enfield_Scope_x2,MinMax_Rifle,否,80,否,否,无,5,无,29.2198967,否,无,否,0.0,无,无,14609.948349999999,无,无,无,无,2.0,2.92198967,200.0,292.198967,无,无,无,3.0,10.0,5.5,10,是,无,5,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,28.8,无,无,无,10,5.0,EArmeType/Balle,0.0,14609.948349999999,0.0,无
Ammo_Lee_Enfield,MinMax_Rifle,否,50,15,否,无,无,无,29.2198967,否,无,否,0.0,无,无,7304.974174999999,无,无,无,无,0.1,2.92198967,2.0,146.0994835,无,无,无,是,3.0,2.0,10,是,无,5,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,14.4,无,无,无,10,0.2,EArmeType/Balle,0.0,7304.974174999999,0.0,无
Ammo_Lee_Enfield_x10,MinMax_Rifle,否,50,15,否,无,无,无,29.2198967,否,无,否,0.0,无,无,7304.974174999999,无,无,无,无,是,2.92198967,20.0,365.24870875,无,无,无,是,3.0,2.0,10,是,无,50,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,14.4,无,无,无,100,0.2,EArmeType/Balle,0.0,7304.974174999999,0.0,无
Ammo_Lee_Enfield_x11,MinMax_Rifle,否,50,15,否,无,无,无,29.2198967,否,无,否,0.0,无,无,7304.974174999999,无,无,无,无,1.1,2.92198967,22.0,365.24870875,无,无,无,是,3.0,2.0,10,是,无,55,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,14.4,无,无,无,110,0.2,EArmeType/Balle,0.0,7304.974174999999,0.0,无
Ammo_Lee_Enfield_x12,MinMax_Rifle,否,50,15,否,无,无,无,29.2198967,否,无,否,0.0,无,无,7304.974174999999,无,无,无,无,1.2,2.92198967,24.0,365.24870875,无,无,无,是,3.0,2.0,10,是,无,60,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,14.4,无,无,无,120,0.2,EArmeType/Balle,0.0,7304.974174999999,0.0,无
Ammo_Lee_Enfield_x13,MinMax_Rifle,否,50,15,否,无,无,无,29.2198967,否,无,否,0.0,无,无,7304.974174999999,无,无,无,无,1.3,2.92198967,26.0,438.2984505,无,无,无,是,3.0,2.0,10,是,无,65,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,14.4,无,无,无,130,0.2,EArmeType/Balle,0.0,7304.974174999999,0.0,无
Ammo_Lee_Enfield_x2,MinMax_Rifle,否,50,15,否,无,无,无,29.2198967,否,无,否,0.0,无,无,7304.974174999999,无,无,无,无,0.2,2.92198967,4.0,146.0994835,无,无,无,是,3.0,2.0,10,是,无,10,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,14.4,无,无,无,20,0.2,EArmeType/Balle,0.0,7304.974174999999,0.0,无
Ammo_Lee_Enfield_x3,MinMax_Rifle,否,50,15,否,无,无,无,29.2198967,否,无,否,0.0,无,无,7304.974174999999,无,无,无,无,0.3,2.92198967,6.0,146.0994835,无,无,无,是,3.0,2.0,10,是,无,15,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,14.4,无,无,无,30,0.2,EArmeType/Balle,0.0,7304.974174999999,0.0,无
Ammo_Lee_Enfield_x4,MinMax_Rifle,否,50,15,否,无,无,无,29.2198967,否,无,否,0.0,无,无,7304.974174999999,无,无,无,无,0.4,2.92198967,8.0,219.14922525,无,无,无,是,3.0,2.0,10,是,无,20,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,14.4,无,无,无,40,0.2,EArmeType/Balle,0.0,7304.974174999999,0.0,无
Ammo_Lee_Enfield_x5,MinMax_Rifle,否,50,15,否,无,无,无,29.2198967,否,无,否,0.0,无,无,7304.974174999999,无,无,无,无,0.5,2.92198967,10.0,219.14922525,无,无,无,是,3.0,2.0,10,是,无,25,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,14.4,无,无,无,50,0.2,EArmeType/Balle,0.0,7304.974174999999,0.0,无
Ammo_Lee_Enfield_x6,MinMax_Rifle,否,50,15,否,无,无,无,29.2198967,否,无,否,0.0,无,无,7304.974174999999,无,无,无,无,0.6,2.92198967,12.0,219.14922525,无,无,无,是,3.0,2.0,10,是,无,30,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,14.4,无,无,无,60,0.2,EArmeType/Balle,0.0,7304.974174999999,0.0,无
Ammo_Lee_Enfield_x7,MinMax_Rifle,否,50,15,否,无,无,无,29.2198967,否,无,否,0.0,无,无,7304.974174999999,无,无,无,无,0.7,2.92198967,14.0,292.198967,无,无,无,是,3.0,2.0,10,是,无,35,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,14.4,无,无,无,70,0.2,EArmeType/Balle,0.0,7304.974174999999,0.0,无
Ammo_Lee_Enfield_x8,MinMax_Rifle,否,50,15,否,无,无,无,29.2198967,否,无,否,0.0,无,无,7304.974174999999,无,无,无,无,0.8,2.92198967,16.0,292.198967,无,无,无,是,3.0,2.0,10,是,无,40,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,14.4,无,无,无,80,0.2,EArmeType/Balle,0.0,7304.974174999999,0.0,无
Ammo_Lee_Enfield_x9,MinMax_Rifle,否,50,15,否,无,无,无,29.2198967,否,无,否,0.0,无,无,7304.974174999999,无,无,无,无,0.9,2.92198967,18.0,292.198967,无,无,无,是,3.0,2.0,10,是,无,45,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,14.4,无,无,无,90,0.2,EArmeType/Balle,0.0,7304.974174999999,0.0,无
Ammo_Lewis_M20,MinMax_Rifle,否,10,否,否,无,-1,无,29.2198967,否,无,否,1460.994835,无,无,10957.461262499999,无,无,无,无,0.4,2.92198967,16.0,189.92932854999998,无,无,无,2.0,3.0,0.4,8,是,无,22,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,21.6,无,无,无,45,0.15,EArmeType/Balle,1460.994835,10957.461262499999,0.0,无
Ammo_Lifebuoy_Flamethrower,MinMax_Flame,否,100,100,否,无,无,2.92198967,14.60994835,否,无,否,292.198967,无,无,1460.994835,无,无,无,无,是,87.65969009999999,100.0,146.0994835,无,无,无,2.0,8.0,6.0,4,是,无,100,EProjectileType/Obus,无,无,无,否,无,是,否,无,是,是,是,无,~/Descriptor_Fire_Incendie,0.5,是,100.0,无,无,无,4,6.0,EArmeType/Flamme,292.198967,1460.994835,0.0,87.65969009999999
Ammo_M1903A3_x6,MinMax_Rifle,否,50,15,否,无,无,无,29.2198967,否,无,否,0.0,无,无,7304.974174999999,无,无,无,无,0.6,2.92198967,12.0,219.14922525,无,无,无,是,3.0,2.0,5,是,无,15,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,14.4,无,无,无,30,0.2,EArmeType/Balle,0.0,7304.974174999999,0.0,无
Ammo_M1903A3_x9,MinMax_Rifle,否,50,15,否,无,无,无,29.2198967,否,无,否,0.0,无,无,7304.974174999999,无,无,无,无,0.9,2.92198967,18.0,292.198967,无,无,无,是,3.0,2.0,5,是,无,22,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,14.4,无,无,无,45,0.2,EArmeType/Balle,0.0,7304.974174999999,0.0,无
Ammo_M1903A4_Scope,MinMax_Rifle,否,80,否,否,无,5,无,29.2198967,否,无,否,0.0,无,无,14609.948349999999,无,无,无,无,是,2.92198967,100.0,292.198967,无,无,无,3.0,10.0,5.5,5,是,无,2,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,28.8,无,无,无,5,5.0,EArmeType/Balle,0.0,14609.948349999999,0.0,无
Ammo_M1918A2_BAR,MinMax_Rifle,否,10,否,否,无,-1,无,29.2198967,否,无,否,0.0,无,无,10957.461262499999,无,无,无,无,0.5,2.92198967,20.0,292.198967,无,无,无,2.0,2.0,0.8,7,是,无,17,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,21.6,无,无,无,35,0.2,EArmeType/Balle,0.0,10957.461262499999,0.0,无
Ammo_M1918A2_BARx2,MinMax_Rifle,否,10,否,否,无,-1,无,29.2198967,否,无,否,0.0,无,无,10957.461262499999,无,无,无,无,是,2.92198967,40.0,350.63876039999997,无,无,无,2.0,2.0,0.8,7,是,无,35,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,21.6,无,无,无,70,0.2,EArmeType/Balle,0.0,10957.461262499999,0.0,无
Ammo_M1919_7_62mm_vehicule,MinMax_Rifle,否,5,否,否,无,-1,无,29.2198967,否,无,否,1460.994835,无,无,10957.461262499999,无,无,无,无,0.5,2.92198967,22.0,292.198967,无,无,无,2.0,3.0,0.45,8,是,无,12,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,16.2,无,无,无,25,0.2,EArmeType/Balle,1460.994835,10957.461262499999,0.0,无
Ammo_M1919_7_62mm_vehicule_UIx2,MinMax_Rifle,否,5,否,否,无,-1,无,29.2198967,否,无,否,1460.994835,无,无,10957.461262499999,无,无,无,无,0.5,2.92198967,22.0,292.198967,无,无,无,2.0,3.0,0.45,8,是,无,12,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,16.2,无,无,无,25,0.2,EArmeType/Balle,1460.994835,10957.461262499999,0.0,无
Ammo_M1919_7_62mm_vehicule_UIx3,MinMax_Rifle,否,5,否,否,无,-1,无,29.2198967,否,无,否,1460.994835,无,无,10957.461262499999,无,无,无,无,0.5,2.92198967,22.0,292.198967,无,无,无,2.0,3.0,0.45,8,是,无,12,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,16.2,无,无,无,25,0.2,EArmeType/Balle,1460.994835,10957.461262499999,0.0,无
Ammo_M1A1_Bazooka,MinMax_Bazooka,否,80,否,否,无,3,无,14.60994835,否,无,100,0.0,无,无,3652.4870874999997,无,无,无,无,10.0,2.92198967,213.0,622.38379971,无,无,无,否,8.0,是,是,是,无,100,EProjectileType/Obus,无,无,无,是,无,是,否,无,无,是,是,无,无,无,是,7.2,无,无,无,是,是,EArmeType/AP_36,0.0,3652.4870874999997,0.0,73.04974175
Ammo_M1A1_Bazooka_AB,MinMax_Bazooka,否,90,否,否,无,3,无,14.60994835,否,无,100,0.0,无,无,3652.4870874999997,无,无,无,无,10.0,2.92198967,213.0,622.38379971,无,无,无,否,8.0,是,是,是,无,100,EProjectileType/Obus,无,无,无,是,无,是,否,无,无,是,是,无,无,无,是,7.2,无,无,无,是,是,EArmeType/AP_36,0.0,3652.4870874999997,0.0,73.04974175
